ID,YEAR_INSTALLED,FAILURE_STATE,Altitude (m),HQ_ADDRESS_ZIP,PIPE - 1 DIA,PIPE - 2 DIA,Service Time(Years),FITTING_MATERIAL_TEXT,PIPE - 1 MATERIAL,PIPE - 2 MATERIAL,MF_INVOLVED_TEXT,MF_TYPE_TEXT,LEAK_LOCATION_A_TEXT,LEAK_LOCATION_B_TEXT,LEAK_LOCATION_C_TEXT,MANUFACTURE,CAUSE OF LEAK,LEAK_OCCURRED_TEXT
43809,2013,MD,"38 
",21201,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,PLASTIC,NUT FOLLOWER,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,CONTINENTAL (CONTINENTAL INDUSTRIES),INCORRECT OPERATION,PULLED OUT
40830,2014,NY,"81 
",14649,8,6,0,PLASTIC,PLASTIC,PLASTIC,STAB,RISER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION ,MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH SEAL
7717,2017,VA,"8 
",23452,8,6,0,PLASTIC,PLASTIC,PLASTIC,STAB,ADAPTER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,INCORRECT OPERATION,LEAKED THROUGH SEAL
12520,2016,ID,"837 
",83709,8,6,0,PLASTIC,PLASTIC,PLASTIC,STAB,SERVICE OR MAIN TEE,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,CONTINENTAL (CONTINENTAL INDUSTRIES),INCORRECT OPERATION,LEAKED THROUGH SEAL
38656,2014,IL,"259 
",60507,8,6,0,PLASTIC,PLASTIC,STEEL,OTHER COMPRESSION TYPE FITTING,ADAPTER,ABOVEGROUND,OUTSIDE,METER SET,UNKNOWN,OTHER,LEAKED THROUGH BODY
37472,2014,KY,"142 
",40202,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,STEEL,STAB,RISER,ABOVEGROUND,OUTSIDE,METER SET,PERFECTION,INCORRECT OPERATION,LEAKED THROUGH BODY
35047,2015,AZ,"726 
",85701,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,PLASTIC,OTHER COMPRESSION TYPE FITTING,RISER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,CENTRAL PLASTICS (GEORG FISCHER CENTRAL PLASTICS; CENTRAL),MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH SEAL
61650,2011,WA,"701 
",98009,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,STEEL,NUT FOLLOWER,ADAPTER,ABOVEGROUND,OUTSIDE,METER SET,CONTINENTAL,INCORRECT OPERATION,LEAKED THROUGH SEAL
43800,2013,GA,"285 
",30309,8,6,0,PLASTIC,PLASTIC,PLASTIC,STAB,VALVE,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION ,EXCAVATION DAMAGE,LEAKED THROUGH SEAL
43930,2013,NY,"55 
",12601,8,6,0,BRASS,PLASTIC,PLASTIC,STAB,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,INCORRECT OPERATION,LEAKED THROUGH SEAL
2965,2017,KY,"142 
",40202,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,STEEL,STAB,RISER,BELOWGROUND,OUTSIDE,METER SET,AMERICAN (AMERICAN METER; ELSTER AMERICAN METER),MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH SEAL
26784,2015,MO,"160 
",63101,8,6,0,PLASTIC,PLASTIC,COPPER,NUT FOLLOWER,COUPLING,BELOWGROUND,OUTSIDE,MAIN-TO-SERVICE,OTHER,OTHER,LEAKED THROUGH BODY
11186,2016,NY,"21 
",10003,8,6,0,PLASTIC,CAST/WROUGHT IRON,STEEL,STAB,VALVE,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,OTHER,CORROSION,LEAKED THROUGH SEAL
46083,2013,KY,"142 
",40202,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,STEEL,NUT FOLLOWER,RISER,ABOVEGROUND,OUTSIDE,METER SET,PERFECTION,MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH SEAL
26889,2015,MO,"160 
",63101,8,6,0,PLASTIC,PLASTIC,PLASTIC,NUT FOLLOWER,VALVE,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,OTHER,MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH BODY
61068,2011,SC,"66 
",29218,8,6,0,PLASTIC,PLASTIC,PLASTIC,STAB,TAPPING TEE,BELOWGROUND,OUTSIDE,MAIN-TO-SERVICE,CONTINENTAL,INCORRECT OPERATION,LEAKED THROUGH SEAL
25027,2015,NY,"21 
",10003,8,6,0,BRASS,PLASTIC,PLASTIC,BOLTED,VALVE,ABOVEGROUND,INSIDE,MAIN-TO-MAIN,CENTRAL PLASTICS (GEORG FISCHER CENTRAL PLASTICS; CENTRAL),NATURAL FORCES,LEAKED THROUGH SEAL
51525,2012,NY,"21 
",10003,8,6,0,STEEL,PLASTIC,STEEL,OTHER COMPRESSION TYPE FITTING,VALVE,ABOVEGROUND,INSIDE,MAIN-TO-SERVICE,OTHER,EQUIPMENT,LEAKED THROUGH BODY
61476,2011,PA,"124 
",19612,8,6,0,PLASTIC,PLASTIC,PLASTIC,STAB,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,INCORRECT OPERATION,LEAKED THROUGH SEAL
35196,2014,MD,"38 
",21201,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,PLASTIC,NUT FOLLOWER,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,CONTINENTAL (CONTINENTAL INDUSTRIES),INCORRECT OPERATION,LEAKED THROUGH SEAL
13994,2016,AL,"197 
",35570,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,PLASTIC,STAB,RISER,BELOWGROUND,OUTSIDE,METER SET,PERFECTION,EQUIPMENT,LEAKED THROUGH SEAL
57227,2011,NY,"21 
",10003,8,6,0,PLASTIC,PLASTIC,PLASTIC,NUT FOLLOWER,OTHER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,DRESSER,EQUIPMENT,LEAKED THROUGH SEAL
35877,2014,NY,"21 
",10003,8,6,0,COMBINATION PLASTIC AND STEEL,STEEL,PLASTIC,STAB,ADAPTER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,OTHER,EQUIPMENT,LEAKED THROUGH SEAL
47268,2013,IL,"259 
",60507,8,6,0,STEEL,COPPER,COPPER,OTHER COMPRESSION TYPE FITTING,ADAPTER,ABOVEGROUND,OUTSIDE,METER SET,UNKNOWN,EQUIPMENT,LEAKED THROUGH SEAL
51352,2012,NY,"21 
",10003,8,6,0,STEEL,CAST/WROUGHT IRON,PLASTIC,NUT FOLLOWER,COUPLING,BELOWGROUND,OUTSIDE,MAIN-TO-MAIN,"DRESSER (DRESSER MANUFACTURING, DRESSER PIPING SPECIALTIES)",EQUIPMENT,LEAKED THROUGH BODY
44467,2013,NY,"21 
",10003,8,6,0,STEEL,PLASTIC,STEEL,STAB,ADAPTER,ABOVEGROUND,INSIDE,SERVICE-TO-SERVICE,"DRESSER (DRESSER MANUFACTURING, DRESSER PIPING SPECIALTIES)",EQUIPMENT,LEAKED THROUGH SEAL
12523,2016,ID,"837 
",83709,8,6,0,PLASTIC,PLASTIC,PLASTIC,STAB,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,CONTINENTAL (CONTINENTAL INDUSTRIES),INCORRECT OPERATION,LEAKED THROUGH SEAL
12363,2016,SC,"314 
",29640,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,PLASTIC,STAB,COUPLING,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,INCORRECT OPERATION,LEAKED THROUGH SEAL
35159,2014,GA,"285 
",30309,8,6,0,STEEL,PLASTIC,PLASTIC,STAB,ADAPTER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,EQUIPMENT,LEAKED THROUGH SEAL
6959,2017,CA,"86 
",90013,8,6,0,STEEL,PLASTIC,STEEL,NUT FOLLOWER,ADAPTER,ABOVEGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,INCORRECT OPERATION,LEAKED THROUGH SEAL
13859,2016,IL,"259 
",60507,8,6,0,STEEL,PLASTIC,STEEL,OTHER COMPRESSION TYPE FITTING,ADAPTER,ABOVEGROUND,OUTSIDE,METER SET,CHICAGO,EQUIPMENT,LEAKED THROUGH SEAL
51434,2012,NY,"21 
",10003,8,6,0,PLASTIC,PLASTIC,PLASTIC,OTHER COMPRESSION TYPE FITTING,VALVE,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,OTHER,LEAKED THROUGH BODY
40896,2014,SC,"62 
",29033,8,6,0,PLASTIC,PLASTIC,PLASTIC,STAB,RISER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,PERFECTION,INCORRECT OPERATION,LEAKED THROUGH SEAL
39139,2014,CA,"5 
",94107,8,6,0,PLASTIC,PLASTIC,PLASTIC,OTHER COMPRESSION TYPE FITTING,RISER,BELOWGROUND,OUTSIDE,SERVICE-TO-SERVICE,UNKNOWN,MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH SEAL
12933,2016,KY,"142 
",40202,8,6,0,COMBINATION PLASTIC AND STEEL,PLASTIC,STEEL,STAB,RISER,ABOVEGROUND,OUTSIDE,METER SET,PERFECTION,MATERIAL OR WELDS/FUSIONS,LEAKED THROUGH SEAL
